Gemeinde,Centroid
Rohr,POINT (638811.067723848 251323.78765764)
Boningen,POINT (631433.595773726 239262.035954597)
Büsserach,POINT (608007.64649093 248773.663224415)
Egerkingen,POINT (627043.811838396 241736.272661099)
Walterswil,POINT (639960.470487599 242144.311875436)
Obergösgen,POINT (638934.329313055 246052.650570903)
Mümliswil-Ramiswil,POINT (618003.971930186 244294.456525332)
Subingen,POINT (614034.28281 227700.799157357)
Oberdorf,POINT (604131.310525347 232134.918698141)
Rüttenen,POINT (607177.455185779 232189.058574687)
Bärschwil,POINT (602041.400873615 248245.881417738)
Beinwil,POINT (611593.992994595 245057.236566273)
Meltingen,POINT (611348.131941383 247620.039666757)
Zullwil,POINT (612451.775428482 248585.288451597)
Etziken,POINT (615701.217512814 226350.139124971)
Eppenberg-Wöschnau,POINT (644248.80371216 247849.348360601)
Günsberg,POINT (610269.365628435 234682.372325948)
Trimbach,POINT (634056.114021128 246641.457210408)
Matzendorf,POINT (614247.566813471 239341.209706477)
Kappel,POINT (631672.950151432 241224.200440726)
Gunzgen,POINT (629993.758303797 240288.550390144)
Welschenrohr,POINT (606199.538609237 236130.90332478)
Kienberg,POINT (639872.020872591 254528.07676231)
Laupersdorf,POINT (616394.591960493 240394.646971907)
Witterswil,POINT (606586.07831469 259642.857231669)
Recherswil,POINT (612354.101648409 223221.73253674)
Unterramsern,POINT (603201.813690976 218662.88540585)
Lohn-Ammannsegg,POINT (606762.955888702 224715.796553722)
Fehren,POINT (610675.21750708 249597.739307418)
Olten,POINT (634877.492818944 243881.966240918)
Oensingen,POINT (621486.029485321 237489.177159903)
Metzerlen,POINT (602445.634719349 257233.151319923)
Bolken,POINT (616921.564768987 226926.043137156)
Hofstetten-Flüh,POINT (605249.900002531 257934.124955763)
Obergerlafingen,POINT (611026.368100862 223421.024034916)
Balm b. Günsberg,POINT (608063.023490863 234479.756555913)
Hägendorf,POINT (629163.103379836 243905.923706656)
Balsthal,POINT (619787.96318737 240429.748079579)
Bettlach,POINT (598505.652419201 228623.065182069)
Oekingen,POINT (613134.768478408 225322.19657433)
Däniken,POINT (640564.113254274 244402.643816253)
Kriegstetten,POINT (611851.581266237 224888.832201904)
Gretzenbach,POINT (642195.592640336 244775.13573035)
Wisen,POINT (634071.878117282 249418.402121967)
Dulliken,POINT (638357.840161193 243893.194725876)
Rodersdorf,POINT (600580.452982357 259311.992729399)
Erschwil,POINT (608028.53300881 246785.97907521)
Grenchen,POINT (596133.454219402 227364.873690246)
Lostorf,POINT (637460.49107056 248750.357862273)
Schönenwerd,POINT (643116.536243601 247081.668017978)
Deitingen,POINT (613792.043086808 229685.180237287)
Luterbach,POINT (611220.540445675 229460.628641485)
Herbetswil,POINT (609885.910508681 238069.784379882)
Oberbuchsiten,POINT (624291.790640502 240195.073148854)
Kammersrohr,POINT (611632.152716883 233983.233147486)
Niedergösgen,POINT (641186.08741839 247105.763832229)
Härkingen,POINT (628950.061793274 239367.818717828)
Gempen,POINT (616615.892781101 258648.18240322)
Derendingen,POINT (611460.268868428 226775.059303974)
Gerlafingen,POINT (610110.677071172 224407.196210611)
Stüsslingen,POINT (640077.064675392 249484.958629292)
Lommiswil,POINT (602220.177000283 230829.318903991)
Feldbrunnen-St.Niklaus,POINT (608604.263177888 230453.699497546)
Wolfwil,POINT (627211.604202042 235533.465816431)
Hüniken,POINT (614939.095250359 225844.777970856)
Zuchwil,POINT (609464.239807126 228320.100651157)
Biberist,POINT (608279.036566801 226015.567869377)
Solothurn,POINT (606926.054477269 228603.906663258)
Lüterkofen-Ichertswil,POINT (604887.027619466 223541.123854605)
Bättwil,POINT (605378.377859914 260100.371829598)
Halten,POINT (613136.423952142 224148.987690678)
Starrkirch-Wil,POINT (636913.504129006 243690.591432498)
Flumenthal,POINT (612388.127660385 231489.650032801)
Erlinsbach SO,POINT (641951.940536451 249977.64262756)
Lüterswil-Gächliwil,POINT (600285.28033927 218909.013671193)
Messen,POINT (600892.250414604 216125.925177282)
Büren,POINT (617695.396048907 255250.069711762)
Nuglar-St.Pantaleon,POINT (618851.166121071 257835.660106996)
Aeschi,POINT (617482.90028883 224417.394659348)
Drei Höfe,POINT (615036.692687786 223315.446043306)
Lüsslingen-Nennigkofen,POINT (604210.946550592 226135.326879185)
Hubersdorf,POINT (611361.397596019 232686.963454021)
Biezwil,POINT (598520.291254263 217862.121365934)
Selzach,POINT (600741.505787643 229591.325940843)
Gänsbrunnen,POINT (602145.26871366 234564.051662884)
Hauenstein-Ifenthal,POINT (631521.595320352 246777.623418662)
Grindel,POINT (605186.547530429 247656.965809906)
Dornach,POINT (613995.162103315 258440.134623004)
Langendorf,POINT (605821.350413531 230084.457265437)
Holderbank,POINT (623651.246339452 242509.701813483)
Kestenholz,POINT (623809.786903147 236206.519754123)
Fulenbach,POINT (629817.423431481 236727.140942019)
Neuendorf,POINT (627398.330596242 238545.628228105)
Wangen b. Olten,POINT (632720.848382521 243561.430302223)
Niederbuchsiten,POINT (625686.390565297 237583.20643501)
Horriwil,POINT (614172.416122923 225504.343008831)
Aedermannsdorf,POINT (611655.235422699 240148.260651508)
Winznau,POINT (636714.602175095 246670.143153908)
Kleinlützel,POINT (598429.568882318 252863.227805084)
Bellach,POINT (604326.008112389 228839.378214005)
Rickenbach,POINT (631482.314402676 243608.550755119)
Schnottwil,POINT (596402.935968414 217531.157780923)
Hochwald,POINT (615156.000339653 255983.693089594)
Breitenbach,POINT (608945.005979864 250636.501226574)
Riedholz,POINT (609927.875140837 231762.426759498)
Seewen,POINT (615592.760662654 252765.514148811)
Himmelried,POINT (611466.340900365 252676.104842196)
Nunningen,POINT (613418.874802064 249692.247651751)
Buchegg,POINT (602975.823906844 220891.628040008)
